Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
starkware-libs/cairo,1769,601,149,50,2025-07-13,Rust,226
OpenZeppelin/cairo-contracts,876,391,50,50,2025-07-13,Rust,81
dojoengine/dojo,462,202,30,50,2025-07-11,Rust,109
foundry-rs/starknet-foundry,361,232,256,50,2025-07-10,Rust,84
cairo-book/cairo-book,263,255,23,50,2025-07-13,JavaScript,149
keep-starknet-strange/alexandria,255,111,1,50,2025-07-12,Cairo,62
software-mansion/protostar,251,48,72,50,2025-06-13,Python,28
keep-starknet-strange/garaga,239,78,21,50,2025-07-11,Cairo,31
software-mansion/scarb,210,79,98,50,2025-07-12,Rust,51
pyth-network/pyth-crosschain,184,267,63,50,2025-07-11,TypeScript,76
NethermindEth/StarknetByExample,147,102,16,50,2025-07-07,Solidity,41
WTFAcademy/WTF-Cairo,143,49,1,50,2025-06-15,Cairo,18
redstone-finance/redstone-oracles-monorepo,128,65,4,11,2025-07-11,TypeScript,32
0xSpaceShard/starknet-devnet,126,77,34,50,2025-07-11,Rust,31
myBraavos/braavos-account-cairo,116,57,1,9,2025-05-08,Python,3
eqlabs/starknet-multisig,93,21,0,50,2025-07-06,Cairo,4
auditless/cairo-template,87,12,0,37,2025-01-01,Rust,6
BibliothecaDAO/loot-survivor,86,40,3,50,2025-03-13,Cairo,7
keep-starknet-strange/joyboy,83,57,18,50,2025-07-12,TypeScript,29
BibliothecaDAO/eternum,73,57,41,50,2025-07-10,JavaScript,28
starkware-bitcoin/raito,71,45,4,50,2025-07-07,Cairo,33
EkuboProtocol/governance,65,31,1,50,2025-06-22,Cairo,5
WTFAcademy/WTF-Starknet,61,37,7,50,2025-03-18,Python,20
smartcontractkit/chainlink-starknet,57,27,26,50,2025-07-11,Go,52
Carbonable/carbon-protocol,55,21,12,50,2024-12-19,Cairo,10
lambdaclass/yet-another-swap,53,23,21,50,2025-04-26,Cairo,13
gizatechxyz/Giza-Hub,50,25,7,30,2025-07-07,Jupyter Notebook,8
dojoengine/origami,48,23,8,50,2025-05-25,Cairo,14
focustree/starknet.dart,45,43,13,50,2025-07-10,Dart,29
influenceth/cubit,42,26,6,45,2025-02-07,Rust,16
avnu-labs/avnu-contracts-v2,38,10,2,7,2025-06-27,Cairo,4
astraly-labs/pragma-oracle,37,14,9,50,2025-04-30,Cairo,4
astraly-labs/hyperlane_starknet,37,24,10,50,2025-07-11,Cairo,9
KaizeNodeLabs/starkiro,36,77,8,50,2025-05-05,Cairo,65
nestorbonilla/starknet-workshop-frontend,34,28,1,1,2025-06-17,TypeScript,1
DistinctCodes/NFT-Scavenger-Hunt-Game,33,124,1,50,2025-07-05,TypeScript,120
cartridge-gg/cairo-webauthn,33,11,10,50,2025-07-06,Rust,8
keep-starknet-strange/zkramp,29,27,11,50,2025-01-03,Cairo,15
ArkProjectNFTs/ark-project,29,30,31,50,2025-03-19,TypeScript,16
NethermindEth/teeception,27,4,10,27,2025-05-12,Go,3
reilabs/cairo-hints,24,5,1,38,2025-04-14,Cairo,4
credence0x/cairo-damn-vulnerable-defi,24,8,0,4,2025-03-30,Cairo,4
ArkProjectNFTs/bridge,23,21,5,50,2025-07-10,TypeScript,15
informalsystems/ibc-starknet,21,4,36,50,2025-07-12,Cairo,7
lindy-labs/wadray,21,3,0,48,2025-06-03,Cairo,5
auditless/suna,19,3,4,26,2024-05-06,Rust,4
AFK-AlignedFamKernel/afk_monorepo,19,63,34,50,2025-07-12,TypeScript,28
pyth-network/pyth-examples,18,16,5,50,2025-05-31,TypeScript,13
gaetbout/starknet-commit-reveal,18,0,0,3,2024-09-23,Cairo,1
BibliothecaDAO/arcade-account,17,4,1,10,2024-03-16,Cairo,4
shramee/cairo_pairing,17,9,1,27,2025-03-07,Cairo,1
casweeney/awesome-starknet-cairo,17,6,0,49,2025-06-12,Cairo,1
faytey/JigIt,16,7,16,35,2025-03-29,TypeScript,7
Hexens/remedy-ctf-2025,16,4,0,0,2025-06-29,Solidity,1
zkLinkProtocol/zklink-starknet-contracts,16,10,3,50,2024-12-30,Rust,4
Flex-NFT-Marketplace/Flex-Marketplace-Contract,16,57,3,50,2025-04-11,Cairo,35
carbonable-labs/cairo-erc-2981,16,8,0,7,2024-08-28,Cairo,4
dojoengine/stark-vrf,16,3,1,4,2025-01-02,Rust,3
AbdelStark/cashu-zk-engine,15,2,0,0,2025-07-08,Cairo,1
he-cairo/paillier.cairo,15,0,1,13,2024-11-08,Cairo,2
Knivelty/Zenith,14,0,1,6,2025-01-24,TypeScript,4
dojoengine/stark-lander,13,7,5,10,2024-11-15,TypeScript,6
HiveMesh/wasmate-runtime,13,1,2,50,2025-07-13,Go,2
HerodotusDev/hdp-cairo,13,11,12,50,2025-07-10,Rust,8
ponderingdemocritus/boot-camp,13,3,0,0,2024-07-19,TypeScript,1
milancermak/cairo_nft,12,0,0,0,2024-12-13,Cairo,1
hyli-org/vibe-check,12,4,7,35,2025-03-14,Cairo,4
FuzzingLabs/sierra-analyzer,11,1,1,32,2025-04-22,Rust,2
Okm165/cairo1-cairo0bootloader,11,3,1,12,2024-09-23,Cairo,2
Abhi-GX/Starknet-workshop,10,0,0,0,2025-02-18,TypeScript,4
argentlabs/starknet-off-chain-signature,10,3,0,2,2025-06-28,Cairo,1
mediolano-app/mediolano-contracts,10,32,8,50,2025-07-08,Cairo,24
