Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
a16z/jolt,804,242,63,50,2025-07-13,Rust,73
lbc-team/Pioneer,244,59,102,50,2025-07-10,Python,21
a16z/zkvm-benchmarks,60,24,1,3,2025-05-20,Rust,3
babybear-labs/benchmark,29,7,21,29,2025-07-10,Rust,5
Sindri-Labs/sindri-resources,21,11,5,50,2025-03-27,Go,10
eth-act/ere,19,6,27,50,2025-07-09,Rust,3
Sindri-Labs/sindri-js,17,6,13,50,2025-07-08,TypeScript,8
ArmanKolozyan/ZKP-Languages,16,4,1,3,2025-06-17,Jupyter Notebook,1
stackrlabs/succinct-residency-exps,16,5,6,50,2025-07-02,Rust,3
cysic-labs/jolt-b,7,2,1,1,2024-10-26,Rust,2
ETAAcademy/ETAAcademy-ZK-Meme,5,3,1,1,2025-07-05,Rust,2
flyq/jolt_verifier_canister,5,0,0,0,2025-07-10,Rust,1
Pi-Squared-Inc/zk-benchmark,4,3,3,18,2025-04-08,Cairo,5
kwancarl/acl2-jolt,3,0,0,0,2025-05-13,Rust,2
viniciusthiengo/AdsAppJolt,3,1,0,0,2023-04-03,Java,1
Marky-Shi/zk_notes,3,0,0,6,2025-07-08,Python,1
MatteoMer/buy-my-tweet,3,0,0,0,2025-02-03,TypeScript,1
Nuffle-Labs/near-zk-light-client-jolt,2,0,0,0,2024-06-14,Rust,1
NethermindEth/zkvm-benchmarks,2,2,5,9,2025-06-09,Rust,1
lurk-lab/zkvm-benchmarks,2,1,0,3,2025-03-26,Rust,2
WillPapper/zkvm-uuid-generation,2,0,0,4,2024-11-21,Rust,1
Xor0v0/ZK-Puzzle-Writeups,2,0,0,0,2025-03-17,,2
blocksense-network/zkVMs-benchmarks,2,7,2,35,2025-06-03,Rust,6
sausaging/jugalbandi,1,3,3,6,2024-05-12,Rust,2
flyq/jolt_expand,1,0,0,0,2024-05-06,Rust,1
quangvdao/asiacrypt-2025-submission,1,0,0,0,2025-05-16,Rust,1
gnosisguild/pove,1,0,0,0,2025-07-02,Rust,2
NebraZKP/test-zkvm,1,2,0,0,2024-08-02,Rust,1
doutv/jolt-demo,1,0,0,0,2024-05-05,Rust,1
cmu-snarks/CoBBl,1,0,0,0,2025-05-12,Rust,1
OpacityLabs/jolt-react-native,1,0,0,0,2024-07-30,Rust,1
OpacityLabs/jolt-eddsa,0,0,0,0,2024-04-12,Rust,1
fmhall/chess-program,0,0,0,0,2024-05-02,Rust,1
MatteoMer/hyle-webauthn-identity-contract,0,0,0,0,2025-01-29,Rust,1
substance-labs/t-rust,0,0,1,5,2025-03-25,Python,4
khandar-william/dynamic-link-jolt,0,0,0,0,2024-10-23,Rust,1
LayerResearch/jolt-fib,0,0,0,1,2025-06-21,Makefile,1
banr1/forked-jolt,0,0,0,0,2025-05-12,Rust,70
fibonhack/MOCA-2024-finals-challs,0,0,0,0,2024-09-23,Jupyter Notebook,1
Marky-Shi/jolt_example,0,0,0,0,2024-09-27,Rust,1
yasuhide0802/omicron-supernova,0,0,0,0,2024-10-05,Jupyter Notebook,5
larry-lime/zk-benchmark2,0,2,0,9,2024-12-17,Rust,4
LayerResearch/jolt-revm,0,0,0,1,2025-07-12,Rust,1
tpai/unity-tutor,0,0,0,0,2021-12-24,,1
guelowrd/zik-zak-zoo-JOLT,0,0,0,0,2024-09-16,Rust,1
zksecurity/zkvm-benchmarks,0,0,7,41,2025-07-09,Rust,3
codygunton/blake2s-jolt,0,0,0,0,2025-04-10,Rust,1
x-senpai-x/consenJolt,0,0,0,0,2025-07-09,Rust,1
OpacityLabs/jolt-playground,0,1,0,0,2024-04-11,Rust,1
