Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
ethereum/remix-project,2694,1157,801,50,2025-07-11,TypeScript,190
metacraft-labs/codetracer,1204,27,53,50,2025-07-11,Nim,12
noir-lang/noir,1115,307,625,50,2025-07-11,Rust,109
selfxyz/self,659,112,34,50,2025-07-13,Circom,32
AztecProtocol/aztec-packages,333,451,1056,50,2025-07-11,C++,135
keep-starknet-strange/garaga,239,78,21,50,2025-07-11,Cairo,31
AztecProtocol/barretenberg,174,125,365,50,2025-07-11,C++,78
TaceoLabs/co-snarks,156,25,34,50,2025-07-10,Rust,13
anondotworld/anonworld,140,47,6,50,2025-07-12,TypeScript,7
tonk-labs/dappicom,137,8,8,44,2025-05-08,Rust,5
AztecProtocol/aztec-nr,121,61,16,22,2025-07-05,Noir,43
AztecProtocol/aztec-starter,80,75,6,50,2025-07-08,TypeScript,28
worldfnd/ProveKit,76,13,32,50,2025-07-10,Rust,18
noir-lang/noir-examples,58,26,16,50,2025-07-09,Solidity,13
eryxcoop/acvm-backend-plonky2,49,0,0,2,2025-06-25,Rust,3
agencyenterprise/zkgraph-bnb-hack,47,2,1,17,2025-06-10,Python,5
sambarnes/noir-by-example,44,6,4,17,2025-05-22,Rust,4
richardliang/noir-rsa,43,8,2,19,2025-04-30,Rust,4
zkpassport/circuits,42,11,6,50,2025-07-10,Solidity,5
polybase/zk-benchmarks,42,7,3,50,2025-06-30,Rust,5
Ethan-000/halo2_backend,38,14,9,50,2025-03-24,Rust,6
pluto/edge,33,4,6,22,2025-07-12,Rust,2
reilabs/lampe,33,4,26,50,2025-07-02,Lean,5
madztheo/noir-react-native-starter,30,9,2,7,2025-07-11,TypeScript,2
vlayer-xyz/monorepo,29,15,8,50,2025-06-13,Rust,7
AlexCheema/Graphite,27,2,1,1,2025-02-03,Solidity,4
jat9292/Private-token,26,4,2,2,2025-02-18,Solidity,2
jordan-public/evm-private-execution,23,3,0,0,2025-06-26,Solidity,1
Koukyosyumei/zkFuzz,21,1,1,50,2025-07-12,Rust,2
keep-starknet-strange/scaffold-garaga,18,4,3,6,2025-07-11,Cairo,2
zac-williamson/mpclib,18,2,3,3,2025-07-07,Noir,5
vlayer-xyz/noir-base64,16,3,0,13,2025-03-05,Rust,2
defi-wonderland/aztec-patterns,16,2,0,13,2024-09-14,Rust,3
tonk-labs/gribi,16,2,0,4,2025-04-19,Solidity,3
YtzBeno/elliptic-curve-noir,16,0,0,0,2024-09-15,Roff,1
shahadpichen/zerodrive,16,1,1,6,2025-06-13,TypeScript,1
aragonzkresearch/nouns-anonymous-voting,15,1,1,17,2024-09-15,Solidity,3
defi-wonderland/aztec-standards,15,3,15,50,2025-07-11,Noir,7
jimjimvalkema/ultra-anon,14,1,0,15,2025-06-12,Solidity,2
nemi-fi/mezcal,14,1,3,25,2025-07-08,TypeScript,1
olehmisar/nodash,13,1,2,5,2025-06-24,Noir,1
richardliang/zkdsl-workshop,13,2,1,1,2024-10-28,Rust,1
Swoir/Swoir,13,3,4,5,2025-07-11,Swift,2
aztec-scan/chicmoz,13,8,36,50,2025-07-09,TypeScript,4
TomAFrench/frogcrypto,12,2,0,0,2024-12-10,Roff,1
hashcloak/noir-mpc-ml,12,1,0,9,2025-06-10,Noir,2
wakeuplabs-io/starkware-private-erc20,12,0,2,47,2025-06-19,TypeScript,4
attested-frontiers/openbanking.nr-circuit,11,1,3,17,2025-06-30,Noir,2
TaceoLabs/noir-poseidon,11,0,0,2,2025-05-15,Noir,3
distributed-lab/noir-semaphore,11,3,0,0,2025-07-08,Solidity,1
noir-lang/tiny-noirjs-app,11,13,3,18,2025-05-01,JavaScript,5
distributed-lab/noir-plume,11,1,1,8,2025-06-26,Noir,2
sirasistant/brillig-vm-circuit,10,1,0,1,2024-12-16,Rust,2
distributed-lab/op_rand,10,1,5,8,2025-07-03,Noir,4
web3privacy/hackathon-2025-berlin-submissions,10,34,3,36,2025-07-12,TypeScript,37
Bank-of-JubJub/base,10,6,24,46,2025-02-18,Solidity,3
abhi3700/My_Learning_Cryptography,10,0,0,1,2024-12-21,Solidity,1
jimjimvalkema/warp-toad,9,1,14,50,2025-07-09,Solidity,4
zkmopro/noir-rs,9,0,0,5,2025-07-10,Rust,3
teddav/co-match.noir,9,0,0,1,2025-06-13,TypeScript,1
zobront/aztec-poker,9,1,1,1,2024-09-15,Rust,1
ZKCamp/noir-toy-hashing-assignment,8,31,14,16,2024-03-05,Roff,1
yuriko627/vfl-demo,8,1,0,0,2025-06-20,Solidity,1
Savio-Sou/noir-benchmarks,8,3,0,6,2025-06-10,Shell,4
manu-bhadoria/statnr,8,0,0,0,2025-06-27,Roff,1
mohammed7s/openbanking.nr,7,0,0,0,2025-05-27,Noir,2
jordan-public/billion-zk-voters,7,1,0,0,2024-11-26,Solidity,1
celo-org/self,6,0,9,50,2025-07-13,Circom,13
raven-house/vicinity,6,0,0,3,2025-05-15,TypeScript,1
resurgencelabs/noir_education,6,0,0,0,2024-09-14,Roff,2
fatlabsxyz/terry-escape,6,0,2,50,2025-07-08,TypeScript,4
michaelelliot/noir-sha2,6,0,0,0,2024-09-14,Rust,1
noir-lang/zk_bench,6,0,9,17,2025-07-01,Circom,3
fabian416/ZK-Drop,6,0,0,0,2025-06-19,TypeScript,3
guipublic/crypdoku,6,1,0,1,2024-03-31,Roff,1
colinnielsen/noir-array-helpers,6,10,3,13,2025-04-22,Noir,3
metavind/noir-ml,6,0,0,1,2024-09-14,Roff,1
noir-lang/poseidon,5,1,1,5,2025-06-24,Noir,4
manu-bhadoria/CSPRNG,5,0,1,1,2025-06-30,Roff,1
resurgencelabs/phy_vector,5,0,0,0,2024-09-14,Roff,1
