Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
ProvableHQ/leo,4831,679,136,50,2025-07-11,Rust,59
ProvableHQ/snarkOS,4454,2676,91,50,2025-07-12,Rust,97
chainfeeds/RSSAggregatorforWeb3,1988,325,4,11,2025-07-03,Python,3
ProvableHQ/snarkVM,1125,1522,135,50,2025-07-12,Rust,74
0xPARC/zk-bug-tracker,674,73,9,37,2025-07-07,,11
rust-lang/crates.io-index,639,250,2,2,2025-07-13,Tcl,3
ProvableHQ/sdk,608,477,20,50,2025-07-04,Rust,44
rust-in-blockchain/rust-in-blockchain,416,138,3,50,2025-07-12,HTML,83
yangwenmai/github-trending-backup,396,53,2,6,2025-07-13,Go,4
acl2/acl2,395,114,114,50,2025-07-13,Common Lisp,55
ProvableHQ/leo-docs-source,327,221,22,50,2025-05-28,Mermaid,71
larsbijl/trending_archive,295,46,1,4,2025-07-12,Python,2
nullity00/zk-security-reviews,231,22,1,7,2025-06-30,,5
anptgen/github-trending,90,31,5,12,2025-06-17,Python,2
osamahamad/payout-targets-data,80,11,3,5,2025-06-28,,1
HarukaMa/aleo-pool-server,79,78,3,19,2025-06-22,Rust,2
minerdao/awesome-aleo,65,16,0,0,2025-04-27,,1
z-prize/2022-entries,55,22,4,12,2025-06-17,Rust,3
ProvableHQ/python-sdk,43,51,11,40,2025-06-18,Python,6
minerdao/posts,42,5,1,2,2025-06-02,,1
babybear-labs/benchmark,29,7,21,29,2025-07-10,Rust,5
demox-labs/webgpu-msm,25,2,0,4,2025-06-11,JavaScript,3
z-prize/2023-entries,24,7,1,3,2025-03-29,C++,2
dubuqingfeng/yarb-web3,23,9,0,0,2025-07-13,Python,1
AvailX/avail-wallet,22,7,27,50,2025-07-01,Rust,8
lambdaclass/aleo_lambda_vm,21,4,1,23,2024-07-29,Rust,7
frodeaa/github_trending_archive,18,6,3,10,2025-07-12,Python,2
leology-org/leology,16,0,0,1,2025-04-16,Rust,3
BrianSeong99/leo-intro-course,16,8,0,7,2025-06-12,,2
antonkomarev/github-trending-archive,15,0,0,1,2025-07-13,TypeScript,2
lambdaclass/aleo_lambda_blockchain,15,1,1,9,2025-07-06,Rust,8
td-kwj-zp2023/webgpu-msm-bls12-377,14,1,0,12,2025-06-11,JavaScript,5
Aleo-DevRel-Ambas/zero-to-zk,14,7,6,35,2024-07-07,,8
garysdevil/BlockchainNote,12,4,0,0,2025-07-10,Solidity,3
deideirui/github-trending-crawler,11,7,0,0,2025-07-13,JavaScript,1
zsociety-io/aleo-dcp,11,1,0,2,2025-06-20,Rust,1
AleoNet/welcome,10,9,2,50,2025-07-01,,9
kaxxa123/amareleo-chain,7,0,1,48,2025-06-19,Rust,1
zhiqiangxu/notes,7,2,0,0,2025-07-07,,1
ProvableHQ/community,7,15,3,12,2024-03-19,,17
sonaric-network/kits,7,6,23,50,2025-01-06,Shell,5
horaguchi/github-trending-history,6,0,0,0,2025-07-06,,1
ProvableHQ/nemean,6,10,2,2,2024-10-17,Go,2
ingonyama-zk/z-games,6,1,0,1,2023-07-20,Rust,2
CalebCurry/learning-leo,5,3,0,0,2024-01-06,Shell,1
Kryha/zk-gaming-toolkit,5,3,0,0,2023-12-16,TypeScript,5
findmio/github-trending-api,5,1,0,0,2025-07-13,Python,1
LavenderFive/aleo_node_monitoring,5,1,0,0,2025-03-12,,1
Hyraze/trending-collection,4,3,2,7,2025-07-13,Python,2
SmithHuberz/bater,4,0,18,50,2024-01-14,Rust,24
AleoNet/zPass-SDK-new,4,2,0,0,2025-06-15,Rust,1
z-prize/prize-posw-gpu,4,1,0,0,2024-10-25,Rust,2
venture23-zkp/gangwar-aleo,4,2,0,1,2023-11-13,TypeScript,2
puzzlehq/serengeti,4,5,5,21,2025-05-12,Shell,4
MozillaSecurity/cryptofuzz,4,3,3,3,2025-06-04,C++,15
arosboro/newsletter,4,0,0,0,2023-09-01,Makefile,1
z-prize/prize-posw-fpga,3,0,0,0,2025-05-05,Rust,2
puzzlehq/aleo-frost,2,0,0,0,2025-02-03,Rust,2
minerdao/snarkOS,2,2,1,1,2024-03-08,Rust,45
rstkey/various-smart-contracts,2,0,0,0,2024-08-12,Solidity,2
anylots/snarkOS-gpu,2,4,0,0,2025-06-13,Rust,47
cumthxy/github-trending-backup,2,0,0,0,2025-05-16,Go,1
demox-labs/aleo-key-gen,1,0,0,0,2024-12-03,Rust,2
memtopia/flutter_aleo_rust_lib,1,0,0,0,2024-12-16,Rust,1
alephx-aleo/aleo-sdk-node,1,0,0,4,2024-10-09,JavaScript,1
Arm-Kaz/Aleo,1,0,10,44,2023-06-24,Rust,48
danbo123/leoxdanboprog,1,0,0,0,2023-11-29,,1
MengLing-L/zprize-ecdsa-varuna,1,0,2,2,2025-04-05,Rust,2
zqq1009/Aleo-Prover,1,0,0,0,2024-06-07,Rust,2
d0cd/snorkle,1,0,0,5,2025-06-05,TypeScript,3
digitalarchivo/web3-news-daily,1,3,0,0,2024-05-17,,1
1to-team/aleo-sign-t2,1,4,0,0,2024-10-16,Rust,1
S-T-Soft/aleo-name-service-api,1,2,0,0,2024-10-18,Rust,2
must479/Aleonode,1,0,21,23,2024-09-18,Rust,49
zamazan4ik/lto-statistics,1,0,0,0,2024-10-29,Rust,1
ljedrz/afl_program_tools,1,0,0,0,2024-09-09,Rust,1
zsociety-io/aleo-standard-programs,0,1,0,0,2024-12-18,Rust,1
pnm-stockly/my-registry,0,0,0,0,2025-03-05,Roff,1
coinsccg/skvm,0,0,10,34,2022-07-18,Rust,1
avdheshcharjan/aleo-frontend,0,0,0,0,2023-11-15,,1
JackRipper1888/cuda-msm,0,0,0,0,2023-10-18,Cuda,1
vicsn/snarkvm-slim,0,0,0,0,2025-06-27,Rust,74
wingyaaan/learn-and-earn-workshop-1,0,0,0,0,2023-11-15,,1
zeroflowddk/aleo-inc-smarts,0,0,0,0,2024-02-09,,1
lsh-Alan/nemean,0,1,0,0,2022-05-02,,1
TrapedCircuit/mori-backend,0,0,0,0,2023-12-04,Rust,1
gtmickey/web3_rust_bridge,0,0,0,0,2024-05-29,Roff,1
Dozie2001/Leo_Node,0,0,0,0,2024-01-11,Rust,1
ghostant-1017/mysnarkOS1,0,0,0,0,2024-05-06,Rust,1
pratiksardar/leo-buildh3r,0,0,0,0,2024-05-08,,1
raviyadav7522/tictactoe,0,0,0,0,2023-12-08,Rust,18
ghostant-1017/api-test,0,0,0,0,2024-10-16,Rust,1
romanb033/Aleo1test,0,0,0,0,2024-02-15,Rust,48
ypszn/aleo_tic_tac_toe,0,0,0,0,2024-01-13,Rust,37
founder197/tictactoe,0,0,0,0,2024-01-15,Rust,37
bicxy/snarkVM,0,1,0,0,2024-07-24,Rust,1
laishawadhwa/Aleo-Auction,0,0,0,0,2024-07-28,Shell,1
tidvn/buildh3r-aleo,0,0,0,0,2024-09-14,Shell,1
tidvn/build3r-aleo,0,0,0,0,2024-09-14,Shell,1
Emma0120/Buildh3r_Aleo,0,0,0,0,2024-09-14,Shell,2
chenhuayi83/snarkVM,0,0,10,25,2023-01-31,Rust,19
amp-buildpacks/samples,0,1,8,27,2024-09-11,Shell,3
dustlang/crates.io-index,0,1,0,0,2021-03-19,Shell,3
AleoXofficial/AleoXMiner,0,0,0,0,2022-10-18,Rust,1
ReccoBell/Snark,0,0,0,0,2025-03-29,Rust,67
zkp-gravity/snarkVM,0,0,10,27,2023-03-31,Rust,28
S-T-Soft/ans-programs,0,0,0,2,2025-03-29,Shell,1
chinesepowered/aleo,0,0,0,0,2025-05-19,TypeScript,1
vargaconsulting/snarkVM,0,0,1,1,2025-06-09,Rust,73
bitrainforest/aleo-ShowRecord,0,0,0,0,2022-10-09,,2
minerdao/snarkVM,0,0,10,36,2022-12-03,Rust,28
Kommrad/snarkVM,0,0,0,0,2023-12-19,Rust,28
ShubhamPalriwala/blackzack,0,0,0,0,2023-12-19,Shell,1
durakahmetayberk/aleo_workshop2,0,0,0,0,2023-11-15,Rust,1
reed4u/aleo-pool-server-cuda,0,1,0,0,2022-12-08,Rust,3
Psalmuel01/aleo-deploy,0,0,0,0,2024-07-28,Rust,1
ghostant-1017/poc-report2610084,0,0,0,0,2024-07-18,Rust,1
hanbu97/706402e0a54b1ae83c3,0,0,0,0,2023-10-13,C,1
hanbu97/aleogpu,0,0,0,0,2024-09-10,C,1
reed4u/aleo_pool_test,0,2,1,3,2022-12-07,Rust,3
AvailX/aleo-tools,0,0,0,0,2023-11-12,Rust,1
superbuffers/superbuffer-battleship,0,0,0,0,2023-06-15,Rust,1
SSCT-Lab/rust-syntax-and-software-quality,0,0,0,0,2024-05-08,Rust,1
hentai8/snarkOS-alter,0,0,0,0,2023-01-09,Rust,45
Pdayburt/aleo-agent,0,0,0,0,2025-05-09,Rust,2
Lagrange-Studio/snarkVM,0,0,0,0,2023-02-26,Rust,1
vicsn/jacobian_attack,0,0,0,0,2023-12-19,Rust,1
15012700225/my-snarkVM,0,1,10,13,2022-12-26,Rust,1
reed4u/snarkVM,0,1,10,33,2023-01-02,Rust,28
EmiliaFili/snarkOS,0,0,10,23,2024-12-22,Rust,45
rosemary-crypto/zkvm_benchmark,0,0,0,0,2024-11-17,Rust,1
cherry-soso/leo_cherry,0,0,0,0,2024-08-30,Shell,1
AvailX/avail-lib,0,0,7,23,2024-09-18,Rust,3
ghostant-1017/mysnarkOS,0,0,0,0,2024-04-28,Rust,1
9ightshade/aleo_max_challenge,0,0,0,0,2025-03-01,,1
ais31/Aleo_testnet_deploy_contract,0,0,0,0,2023-12-31,Shell,1
xpe/crates-io-index-mirror,0,1,0,0,2021-10-03,Shell,1
jerydam/Distributed,0,0,0,0,2024-01-28,,1
tangfeifei/aleo-pool,0,0,0,0,2024-10-09,Rust,1
maybeLn/aleo-gpu,0,0,0,0,2022-12-01,Rust,2
Killpit/aleo-helm-charts,0,0,0,0,2025-06-06,Smarty,1
frekeB/Aloe,0,0,0,0,2024-01-05,Rust,1
iamalwaysuncomfortable/myaleo,0,0,0,0,2023-01-13,Rust,1
batuhansolmaz/workshop-2,0,0,0,0,2023-11-15,Rust,2
alperenbekci/aleo-denver,0,0,0,0,2025-03-03,TypeScript,1
15012700225/my-snarkOS,0,0,0,0,2022-12-16,Rust,1
reed4u/snarkOS,0,0,0,0,2022-12-11,Rust,47
hanbu97/aleo-opencl,0,0,0,0,2025-03-13,C,1
