Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
boyter/scc,7469,290,54,50,2025-07-13,Go,116
Zokrates/ZoKrates,1876,372,109,50,2025-07-11,Rust,44
ethereum-oasis-op/baseline,579,236,15,50,2025-06-01,,81
circify/circ,304,48,23,50,2025-06-28,Rust,10
EYBlockchain/starlight,196,44,20,50,2025-07-11,JavaScript,15
Ajatt-Tools/kitsunekko-mirror,170,18,0,3,2025-07-13,SRecode Template,2
shardeum/community-missions,109,112,17,50,2024-04-17,TypeScript,25
andrecronje/zkftm,97,6,1,1,2025-04-28,Solidity,1
ethereum934/eth-mimblewimble,82,11,10,16,2023-09-22,Python,2
JofArnold/zkp-learning-in-public,67,1,1,13,2024-09-23,Solidity,1
leonardoalt/tinyzkevm,46,2,0,1,2024-07-31,Python,1
spo0ds/Zero-to-ZKP,42,9,0,0,2025-05-30,Solidity,1
thomas-waite/zkSocialRecovery,35,9,16,26,2024-12-16,Solidity,3
informartin/zkRelay,28,8,1,17,2025-05-22,Python,4
hophacker/bitcoin_public_data,20,26,3,3,2025-05-15,PHP,1
cleverhans-lab/verifiable-unlearning,20,4,0,1,2025-05-06,Python,2
ceyonur/electanon,18,7,1,2,2025-06-14,Solidity,1
sCrypt-Inc/zokrates,15,1,6,37,2025-04-09,Rust,43
axic/zkoisc,13,1,0,0,2025-01-12,,1
nishuzumi/blog,13,2,0,0,2025-06-26,MDX,1
barnjamin/zk-experiments,13,1,2,31,2025-02-20,Jupyter Notebook,3
edwjchen/Silph,12,0,0,0,2024-11-18,Rust,2
pag-crypto/sigpop,12,1,0,0,2025-06-27,Rust,1
nlordell/shadowlings,12,2,0,0,2025-01-11,Solidity,2
hossam-magdy/erc721-nft-zokrates-zksnarks,10,1,0,0,2025-02-05,Solidity,1
prajitdas/AndroidAnalytics,10,2,3,22,2025-04-25,Python,6
shivammutrejarug/react_ipfs_ethereum,10,2,7,7,2025-01-08,Solidity,2
LexiccLabs/SemiotNet,10,11,0,0,2024-06-13,CSS,1
andrejrakic/verify-adultness,10,1,0,0,2024-12-23,Solidity,1
patractlabs/ZoPatract,9,2,0,10,2022-10-26,Rust,4
rewema/REWEMA,9,7,0,0,2022-06-29,Perl,2
yehjxraymond/zokrates-experiment,7,1,1,1,2023-02-24,Shell,1
Nokia-Bell-Labs/zkstream,7,3,0,0,2025-05-11,Rust,1
DelphinusLab/delphinus-zkp,7,3,0,50,2024-10-23,TypeScript,8
mystikonetwork/mystiko-circuits,7,0,0,17,2025-07-08,Shell,2
leonardoalt/baby_its_me,6,2,0,1,2023-08-13,Solidity,1
sCrypt-Inc/scrypt-ml,6,0,1,1,2025-05-19,Python,1
soberm/zkDKG,6,1,1,1,2025-04-20,Go,2
rajweb3/masala-wallet,5,4,0,9,2024-11-21,TypeScript,5
scroll-tech/ceno-recursion,4,0,26,50,2025-06-30,Rust,6
miriamdong/gmedchain,4,0,53,50,2022-02-19,JavaScript,2
wannabehero/ethglobal-lisbon,4,1,0,2,2024-03-14,Solidity,2
steel-feel/zokrates,4,1,0,0,2025-03-16,JavaScript,1
xingzhibo2019/ZKP-FL,4,0,0,0,2025-04-23,Python,1
LyuH3/zkucb,4,0,0,0,2025-05-04,Jupyter Notebook,1
PepperSieve/Zombie,4,2,0,0,2024-09-02,Python,2
emlaufer/zkpi,3,0,0,0,2025-05-09,Rust,1
corbt/fixed-id,3,1,0,0,2022-02-10,Jupyter Notebook,1
0Alic/zkABAC,3,1,0,0,2023-09-22,Solidity,1
JonathanHeiss/ZoKrates-Credential-Verification,3,0,1,1,2024-11-14,JavaScript,3
andrejrakic/zokrates-demo,3,0,21,49,2024-02-07,JavaScript,2
CryptoPascal31/cyKlone,3,1,0,3,2024-02-11,Pact,1
holonym-foundation/id-hub-contracts,3,0,1,2,2025-06-18,HTML,4
affixpin/zkard,2,1,0,1,2025-01-12,TypeScript,4
georgwiese/zk-vote-hackathon,2,3,1,5,2024-11-05,Solidity,2
dcarpintero/dapp-real-state,2,0,0,1,2025-02-05,Solidity,2
thecodingshrimp/zkevmrelay,2,0,3,10,2023-03-17,Solidity,1
JacobEberhardt/ZoKratesBenchmarks,2,1,0,16,2023-02-27,Jupyter Notebook,2
qatkk/FederatedNaiveBayesZKP,2,0,0,0,2025-04-24,Solidity,2
kiseln/hangman-zokrates,2,0,0,0,2023-12-13,Solidity,1
AymericNoel/POC_OCTO_ZKP,2,0,0,2,2022-10-21,JavaScript,1
SamuelSlavka/zk-wallet,2,0,1,20,2025-02-13,TypeScript,1
creepteks/lighthouse,2,0,1,1,2023-11-22,Solidity,1
louisabraham/secret-nft,2,1,0,0,2024-06-14,Python,1
rayyan808/bsc-project,2,0,0,0,2023-01-15,JavaScript,1
elimsc/zokrates_examples,2,0,0,0,2024-07-26,Python,1
eybrativosdigitais/zapp-swapescrow-drex,2,0,0,9,2024-12-04,JavaScript,3
ioCarb/ship2earn,1,0,6,37,2024-09-06,Jupyter Notebook,5
aionnetwork/tetryon-sandbox,1,0,0,2,2020-02-01,Java,1
MaryamSiddiqui-ms/FYP-ZKP,1,1,0,40,2024-05-13,Python,3
kozyilmaz/blitZKrieg,1,0,0,2,2021-10-20,C,1
dohaki/nightlines,1,0,0,0,2023-03-08,JavaScript,1
alexsserban/udacity-blockchain-developer-nanodegree,1,0,0,0,2022-02-26,JavaScript,1
osaguild/evm-rd,1,1,0,0,2023-01-20,Solidity,1
Trong-Tra/zkNFT-Proof,1,0,0,0,2025-06-27,Solidity,1
hyperalchemy/proof-of-habitat,1,0,0,0,2025-06-01,HTML,1
zksnake/zksnake-ui,1,0,0,3,2022-12-16,JavaScript,2
GigameshGarages/ReefNet,1,1,0,0,2023-09-08,Solidity,1
cmu-snarks/CoBBl,1,0,0,0,2025-05-12,Rust,1
Zokrates/zokrates-playground,1,0,0,0,2023-04-28,TypeScript,1
foxier25/CirC_ZK,1,1,0,0,2025-05-27,Rust,5
tomosaigon/zk-price-guess,1,0,0,0,2023-12-12,TypeScript,1
ilyadruzh/hmac_streebog,1,0,0,0,2024-04-02,Solidity,1
zysgmzb/Simple-Auth-with-ZKP-and-Merkle,1,0,0,0,2025-05-21,HTML,1
lunoon/zkp-token-privacy,1,1,18,18,2023-01-02,Solidity,1
sudiptab2100/zkSNARK-Auth-JS,1,0,0,0,2024-08-11,JavaScript,1
ftsrg/zkp-audit-zokrates,1,0,0,0,2024-03-05,TypeScript,1
AtmegaBuzz/OwnYourWifus,1,1,0,0,2025-01-14,TypeScript,1
ChiHaoLu/DEFI_FNP_zk,1,0,0,0,2022-06-20,Solidity,1
mysteryon88/zk-hashes,1,0,0,0,2025-07-11,Circom,1
Giusgarus/zkSNArK-Protocols-Implementation,0,0,0,0,2024-04-16,Solidity,1
0xisk/exploring-zokrates,0,0,0,0,2023-07-15,Solidity,1
